loc_rowid,pl_name,sy_snum,sy_pnum,sy_mnum,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_eqt,st_teff,st_logg,sy_dist
4679,K2-38 b,1,2,0,2016,4.01593000,0.049940,1.540,7.30000,11.00000,1266,5731.00,4.38,192.6900000
4680,K2-38 b,1,2,0,2016,4.01593000,0.050600,1.550,12.00000,17.50000,1184,5757.00,4.35,192.6900000
4684,K2-38 c,1,2,0,2016,10.56103000,0.096400,2.420,9.90000,3.60000,858,5757.00,4.35,192.6900000
4687,K2-38 c,1,2,0,2016,10.56103000,0.095140,2.290,8.30000,3.80000,916,5731.00,4.38,192.6900000
4736,K2-39 b,1,1,0,2016,4.60497000,0.057400,5.710,39.80000,1.17000,1670,4912.00,3.58,307.4700000
4896,K2-60 b,1,1,0,2016,3.00265000,0.045000,7.656,135.39558,1.70000,1400,5500.00,4.07,491.8700000
4929,K2-66 b,1,1,0,2016,5.06963000,0.059830,2.490,21.30000,7.80000,1372,5887.00,4.03,513.8770000
5075,K2-98 b,1,1,0,2016,10.13675000,0.094300,4.300,32.20000,2.15000,1102,6120.00,4.23,518.6250000
5094,KELT-10 b,1,1,0,2016,4.16627390,0.052500,15.681,215.80657,0.30800,1377,5948.00,4.32,188.4040000
5101,KELT-11 b,1,1,0,2017,4.73652900,0.062290,15.356,61.97685,0.09300,1712,5370.00,3.73,99.1596000
5104,KELT-12 b,1,1,0,2017,5.03162300,0.067080,19.952,301.93850,0.20900,1800,6279.00,3.89,368.0300000
5107,KELT-14 b,1,1,0,2016,1.71005880,0.029560,17.038,380.12468,0.42100,1904,5802.00,4.23,250.1210000
5108,KELT-14 b,1,1,0,2016,1.71005660,0.030050,19.537,408.09372,0.32200,1970,5720.00,4.17,250.1210000
5114,KELT-15 b,2,1,0,2016,3.32944100,0.046130,16.175,289.22530,0.36000,1642,6003.00,4.17,324.6830000
5118,KELT-16 b,2,1,0,2017,0.96899510,0.020440,15.861,874.03250,1.20000,2453,6236.00,4.25,444.5860000
5121,KELT-17 b,1,1,0,2016,3.08017160,0.048810,17.094,416.35730,0.46000,2087,7454.00,4.22,226.5000000
5124,KELT-18 b,2,1,0,2017,2.87175180,0.045500,17.598,375.03940,0.37700,2085,6670.00,4.06,321.3760000
5131,KELT-19 A b,2,1,0,2017,4.61170930,0.063700,21.409,1293.56810,0.74400,1935,7500.00,4.13,300.2760000
5136,KELT-20 b,1,1,0,2017,3.47410850,0.054200,19.515,1074.90106,0.80600,2262,8720.00,4.29,136.4260000
5143,KELT-21 b,1,1,0,2018,3.61276470,0.052240,17.777,1242.71530,1.24000,2051,7598.00,4.17,470.8780000
5147,KELT-23 A b,2,1,0,2019,2.25525100,0.033020,14.830,298.12454,0.50300,1561,5899.00,4.42,126.2610000
5150,KELT-24 b,1,1,0,2019,5.55149260,0.069690,14.258,1646.35940,3.13000,1459,6509.00,4.25,96.5173000
5153,KELT-24 b,1,1,0,2019,5.55149000,0.067000,15.244,1334.87931,2.30000,1473,6415.00,4.18,96.5173000
5156,KELT-3 b,2,1,0,2013,2.70339040,0.041220,15.076,469.41500,0.75000,1816,6306.00,4.21,210.2520000
5161,KELT-4 A b,3,1,0,2016,2.98959320,0.043170,19.044,286.68266,0.22800,1823,6206.00,4.11,218.0500000
5168,KELT-6 b,1,2,0,2014,7.84570000,0.079390,13.372,136.66100,0.31100,1313,6102.00,4.07,240.7260000
5171,KELT-7 b,1,1,0,2015,2.73477490,0.044150,17.183,406.82240,0.44200,2048,6789.00,4.15,136.6810000
5184,KELT-8 b,1,1,0,2015,3.24406000,0.045710,20.849,275.55861,0.16700,1675,5754.00,4.08,197.5720000
5186,KELT-9 b,2,1,0,2017,1.48112350,0.034620,21.196,915.35040,0.53000,4050,10170.00,4.09,204.4550000
5459,KOI-13 b,3,1,0,2011,1.76358800,0.036410,16.948,2949.46240,3.60000,2550,7650.00,4.20,519.0960000
5602,KOI-3680 b,1,1,0,2018,141.24167100,0.534000,11.097,613.41190,2.46000,347,5830.00,4.47,921.9860000
5621,KOI-94 b,2,4,0,2013,3.74320800,0.051190,1.710,10.50000,10.10000,1486,6182.00,4.18,477.0520000
5640,KOI-94 c,2,4,0,2013,10.42364800,0.101300,4.320,15.60000,0.91000,1012,6182.00,4.18,477.0520000
5645,KOI-94 d,2,4,0,2013,22.34298900,0.168400,11.270,106.00000,0.36300,806,6182.00,4.18,477.0520000
5660,KOI-94 e,2,4,0,2013,54.32031000,0.304600,6.560,35.00000,0.60000,584,6182.00,4.18,477.0520000
5686,KPS-1 b,1,1,0,2018,1.70629100,0.026900,11.545,346.43470,1.31000,1459,5165.00,4.47,262.7060000
5695,Kepler-10 b,1,2,0,2011,0.83749500,0.016840,1.416,4.56000,8.80000,1833,5627.00,4.34,185.5060000
5705,Kepler-10 b,1,2,0,2011,0.83749100,0.017200,1.481,4.60853,8.00000,2130,5627.00,4.35,185.5060000
5709,Kepler-10 b,1,2,0,2011,0.83749070,0.016850,1.470,3.33000,5.80000,2169,5708.00,4.34,185.5060000
5716,Kepler-10 c,1,2,0,2011,45.29485000,0.240700,2.227,20.00000,10.00000,485,5627.00,4.34,185.5060000
5870,Kepler-101 b,1,2,0,2014,3.48768120,0.047400,5.770,51.10000,1.45000,1513,5667.00,4.12,927.9810000
5883,Kepler-101 c,1,2,0,2014,6.02976000,0.068400,1.250,3.78000,10.50000,1413,5667.00,4.12,927.9810000
6702,Kepler-107 b,1,4,0,2014,3.18002180,0.045440,1.536,3.51000,5.30000,1593,5854.00,4.21,525.9970000
6721,Kepler-107 c,1,4,0,2014,4.90145200,0.060640,1.597,9.39000,12.65000,1379,5854.00,4.21,525.9970000
6737,Kepler-107 d,1,4,0,2014,7.95839000,0.083770,0.860,3.80000,33.10000,1173,5854.00,4.21,525.9970000
6751,Kepler-107 e,1,4,0,2014,14.74914300,0.126390,2.903,8.60000,2.00000,955,5854.00,4.21,525.9970000
8092,Kepler-117 b,1,2,0,2014,18.79592280,0.144500,8.059,29.87500,0.30000,984,6150.00,4.10,1455.5700000
8102,Kepler-117 c,1,2,0,2014,50.79039100,0.280400,12.341,584.78000,1.74000,704,6150.00,4.10,1455.5700000
8439,Kepler-12 b,1,1,0,2011,4.43796370,0.055500,19.123,136.66690,0.10773,1485,5947.00,4.16,881.3860000
8441,Kepler-12 b,1,1,0,2011,4.43796290,0.055300,19.661,137.30256,0.11000,1480,5947.00,4.17,881.3860000
10793,Kepler-138 b,1,4,0,2014,10.31340000,0.075300,0.640,0.07000,1.70000,452,3841.00,4.71,66.8624000
10810,Kepler-138 c,1,4,0,2014,13.78150000,0.091300,1.510,2.30000,3.60000,410,3841.00,4.71,66.8624000
